iata_code,name,city,country,lat,lng,is_international,label,source_url
DIW,Dickwella Airport,Dickwella,Sri Lanka,5.966667,80.683333,false,Dickwella (DIW),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DIY,Diyarbakir,Diyabakir,Turkey,37.893897,40.201019,false,Diyabakir (DIY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DJB,Sultan Thaha,Jambi,Indonesia,-1.638017,103.644378,false,Jambi (DJB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DJE,Zarzis,Djerba,Tunisia,33.875031,10.775461,false,Djerba (DJE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DJG,Tiska,Djanet,Algeria,24.292767,9.452444,false,Djanet (DJG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DJJ,Sentani,Jayapura,Indonesia,-2.576953,140.516372,false,Jayapura (DJJ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DKR,Leopold Sedar Senghor Intl,Dakar,Senegal,14.739708,-17.490225,true,Dakar (DKR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLA,Douala,Douala,Cameroon,4.006081,9.719481,false,Douala (DLA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLC,Zhoushuizi,Dalian,China,38.965667,121.5386,false,Dalian (DLC),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLE,Tavaux,Dole,France,47.039014,5.42725,false,Dole (DLE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLG,Dillingham,Dillingham,United States,59.044667,-158.5055,false,Dillingham (DLG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLH,Duluth Intl,Duluth,United States,46.842091,-92.193649,true,Duluth (DLH),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLI,Dalat,Dalat,Vietnam,11.75,108.367,false,Dalat (DLI),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLM,Dalaman,Dalaman,Turkey,36.713056,28.7925,false,Dalaman (DLM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLU,Dali,Dali,China,25.649444,100.319444,false,Dali (DLU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLY,Dillon's Bay Airport,Dillon's Bay,Vanuatu,-18.7694,169.001,false,Dillon's Bay (DLY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DLZ,Dalanzadgad Airport,Dalanzadgad,Mongolia,43.5917,104.43,false,Dalanzadgad (DLZ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DMB,Taraz,Dzhambul,Kazakhstan,42.853611,71.303611,false,Dzhambul (DMB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DMD,Doomadgee Airport,Doomadgee,Australia,-17.9403,138.822,false,Doomadgee (DMD),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DME,Domododevo,Moscow,Russia,55.408611,37.906111,false,Moscow (DME),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DMK,Don Muang Intl,Bangkok,Thailand,13.912583,100.60675,true,Bangkok (DMK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DMM,King Fahd Intl,Dammam,Saudi Arabia,26.471161,49.79789,true,Dammam (DMM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DMU,Dimapur Airport,Dimapur,India,25.8839,93.7711,false,Dimapur (DMU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DND,Dundee,Dundee,United Kingdom,56.452499,-3.025833,false,Dundee (DND),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DNH,Dunhuang Airport,Dunhuang,China,40.094,94.4818,false,Dunhuang (DNH),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DNK,Dnipropetrovsk Intl,Dnepropetrovsk,Ukraine,48.357222,35.100556,true,Dnepropetrovsk (DNK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DNR,Pleurtuit,Dinard,France,48.587683,-2.079958,false,Dinard (DNR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DNZ,Cardak,Denizli,Turkey,37.785567,29.701297,false,Denizli (DNZ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOH,Doha Intl,Doha,Qatar,25.261125,51.565056,true,Doha (DOH),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOK,Donetsk Intl,Donetsk,Ukraine,48.073611,37.739722,true,Donetsk (DOK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOL,St Gatien,Deauville,France,49.365339,0.154306,false,Deauville (DOL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOM,Melville Hall,Dominica,Dominica,15.547028,-61.3,false,Dominica (DOM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOU,Dourados Airport,Dourados,Brazil,-22.220833,-54.805833,false,Dourados (DOU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DOY,Dongying Airport,Dongying,China,37.2716,118.2819,false,Dongying (DOY),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DPL,Dipolog,Dipolog,Philippines,8.601261,123.334481,false,Dipolog (DPL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DPO,Devonport Airport,Devonport,Australia,-41.1697,146.43,false,Devonport (DPO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DPS,Bali Ngurah Rai,Denpasar,Indonesia,-8.748169,115.167172,false,Denpasar (DPS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DRG,Deering Airport,Deering,United States,66.0696,-162.766,false,Deering (DRG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DRK,Drake Bay Airport,Puntarenas,Costa Rica,8.71889,-83.6417,false,Puntarenas (DRK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DRO,Durango La Plata Co,Durango,United States,37.151516,-107.75377,false,Durango (DRO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DRS,Dresden,Dresden,Germany,51.132767,13.767161,false,Dresden (DRS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DRW,Darwin Intl,Darwin,Australia,-12.4083333,130.87266,true,Darwin (DRW),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DSA,Robin Hood Doncaster Sheffield Airport,Doncaster,Sheffield,0,53.474722,false,Doncaster (DSA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DSK,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan,31.909422,70.896639,false,Dera Ismael Khan (DSK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DSM,Des Moines Intl,Des Moines,United States,41.533972,-93.663083,true,Des Moines (DSM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DSN,Ordos Ejin Horo,Dongsheng,China,39.85,110.033,false,Dongsheng (DSN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DTM,Dortmund,Dortmund,Germany,51.518314,7.612242,false,Dortmund (DTM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DTW,Detroit Metro Wayne Co,Detroit,United States,42.212444,-83.353389,false,Detroit (DTW),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUB,Dublin,Dublin,Ireland,53.421333,-6.270075,false,Dublin (DUB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUD,Dunedin,Dunedin,New Zealand,-45.928055,170.198333,false,Dunedin (DUD),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUJ,DuBois Regional Airport,Du Bois,United States,41.1783,-78.8987,false,Du Bois (DUJ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUR,Durban Intl,Durban,South Africa,-29.970089,30.950519,true,Durban (DUR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUS,Dusseldorf,Duesseldorf,Germany,51.289453,6.766775,false,Duesseldorf (DUS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DUT,Unalaska,Unalaska,United States,53.900139,-166.5435,false,Unalaska (DUT),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DVO,Francisco Bangoy International,Davao,Philippines,7.125522,125.645778,true,Davao (DVO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DWC,Dubai Al Maktoum,Dubai,United Arab Emirates,24.55056,55.103174,false,Dubai (DWC),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DWD,Dawadmi Domestic Airport,Dawadmi,Saudi Arabia,24.5,44.4,false,Dawadmi (DWD),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DXB,Dubai Intl,Dubai,United Arab Emirates,25.252778,55.364444,true,Dubai (DXB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DYG,Dayong Airport,Dayong,China,29.1028,110.443,false,Dayong (DYG),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DYR,Ugolny Airport,Anadyr,Russia,64.73495,177.741483,false,Anadyr (DYR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DYU,Dushanbe,Dushanbe,Tajikistan,38.543333,68.825,false,Dushanbe (DYU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DZA,Dzaoudzi Pamandzi,Dzaoudzi,Mayotte,-12.804722,45.281113,false,Dzaoudzi (DZA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
DZN,Zhezkazgan Airport,Zhezkazgan,Kazakhstan,47.708333,67.733333,false,Zhezkazgan (DZN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAE,Sangafa Airport,Sangafa,Vanuatu,-17.0903,168.343,false,Sangafa (EAE),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAM,Nejran,Nejran,Saudi Arabia,17.611436,44.419169,false,Nejran (EAM),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAR,Kearney Municipal Airport,Kearney,United States,40.727,-99.0068,false,Kearney (EAR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAS,San Sebastian,San Sebastian,Spain,43.356519,-1.790611,false,San Sebastian (EAS),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAT,Pangborn Field,Wenatchee,United States,47.398,-120.206,false,Wenatchee (EAT),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EAU,Chippewa Valley Regional Airport,Eau Claire,United States,44.8658,-91.4843,false,Eau Claire (EAU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EBA,Marina Di Campo,Marina Di Campo,Italy,42.760277,10.239445,false,Marina Di Campo (EBA),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EBB,Entebbe Intl,Entebbe,Uganda,0.042386,32.443503,true,Entebbe (EBB),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EBJ,Esbjerg,Esbjerg,Denmark,55.525942,8.553403,false,Esbjerg (EBJ),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EBL,Erbil Intl,Erbil,Iraq,36.237611,43.963158,true,Erbil (EBL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EBU,Boutheon,St-Etienne,France,45.540554,4.296389,false,St-Etienne (EBU),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ECN,Ercan International Airport,Nicosia,Cyprus,35.1547,33.4961,true,Nicosia (ECN),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
ECP,Panama City-NW Florida Bea.,Panama City,United States,30.3417,-85.7973,false,Panama City (ECP),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EDI,Edinburgh,Edinburgh,United Kingdom,55.95,-3.3725,false,Edinburgh (EDI),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EDL,Eldoret Intl,Eldoret,Kenya,0.404458,35.238928,true,Eldoret (EDL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EDO,Balikesir Korfez Airport,Balikesir Korfez,Turkey,39.5546,27.0138,false,Balikesir Korfez (EDO),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EDR,Pormpuraaw Airport,Pormpuraaw,Australia,-14.8967,141.609,false,Pormpuraaw (EDR),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EEK,Eek Airport,Eek,United States,60.213611,-162.043889,false,Eek (EEK),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
EFL,Kefallinia,Keffallinia,Greece,38.120069,20.500481,false,Keffallinia (EFL),https://raw.githubusercontent.com/algolia/datasets/master/airports/airports.json
